question,label
What is a textual index,L1
What is the setting of To Kill a Mockingbird?,L1
What is the title of the first movie you saw,L1
What season are we in right now?,L1
when did saudi arabia start using internet,L1
when did the first saudi radio station open,L1
When did the second world war happen,L1
When did you born ?,L1
when was the first airport in the yemen built,L1
when was the UN formed,L1
Which of the following is the method for determining the volume of a cylinder?,L1
Which of the following item does not belong to the set ?,L1
Which of the two liquids is hypotonic,L1
which part of a data packet is used by a router to determine the destination network,L1
Which technology is used by laser printer,L1
Who is the first president   of USA,L1
who is the founder of the kingdom of saudi Arabia,L1
who was the first man on the moon,L1
who was the first to compose in the arts of makamat,L1
Who was the writer of the Hamilton,L1
Can you tell me about the stages of grief according to Elisabeth Kübler-Ross?,L1
List out FIVE (5) ways how manufacturing and service companies have commitment toward the environmental friendly practices.,L1
What are the file access methods?,L1
What do you mean by Widmanstatten Structure?,L1
Give the specifications and applications of SCR.,L1
Describe the types of vibrators used for compaction of concrete.,L1
What are the causes of an earthquakes.,L1
What is Biomass?,L1
List FIVE (5) basic types of research.,L1
What is the significance of coating on the material properties?,L1
Write a short note on bearing materials.,L1
Explain in detail the importance of preliminary geological exploration in civil engineering projects.,L1
Explain in brief the direct screen stencil making process.,L1
Define Usability.,L1
State  and explain the working principle of the DC generator along with a diagram.,L1
Compare linear and switching mode power supply.,L1
What is configuration identification in SCM?,L1
List and explain various features of virtual 8086 mode.,L1
Explain model for network security.,L1
Explain transfer function of an AC servo motor with suitable diagram.,L1
What is Design?,L1
What is Decomposition Technique?,L1
Describe the historical development of wind turbine on global level.,L1
List the SEVEN (7) stages of the development process of a building project.,L1
Explain the working o single-phase full wave centre tapped rectifier with pure resistive laod.,L1
Explore the role of various fields in Page Level Protection.,L1
Write short note on IEEE 802.,L1
What are fractals?,L1
What is SMPS? Explain working principle of it.,L1
What is meant by multicore architecture?,L1
Discuss in detail preliminary geological work on dam and reservoir.,L1
What are the variants of recursion.,L1
With suitable diagram explain constructional details of 3 phase slipring induction motor,L1
State  the Characteristics of contour lines?,L1
Discuss âSwedish Slip Circle Methodâ for stability analysis of finite slope.,L1
State TWO (2) subsystems of AIS.,L1
What is Remote sensing?,L1
National income can be calculated using three approaches. State the THREE (3) approaches.,L1
Explain qualitative and quantitative data.,L1
What is Sub Zero Treatment and why is it necessary?,L1
Write a short note on control system and electronics.,L1
What is BGP?,L1
List the advantages and disadvantages of FM over AM.,L1
Describe the historical development of wind turbine on Indian level.,L1
Depict the figure showing he feeder pathways for glycolysis.,L1
Describe Logical Programming.,L1
Define graphic design and product design.,L1
Describe V AT Polymerization process in short.,L1
Define Draft tube.,L1
What is perspective projection?,L1
State following statements are True of False.,L1
Define transducer and state detailed classification of transducers.,L1
What is Template?,L1
What is MOD counter ?,L1
Explain Calorific Value.,L1
What is File?,L1
Explain fiber reinforced composites and particle reinforced composites.,L1
State the necessary conditions for parallel operation of transformers.,L1
Describe MOST with suitable illustration.,L1
What are Pumps and Compressor used in Hydraulic and Pneumatic Systems?,L1
Enlist different names of satellite and state features of any two of them.,L1
Draw & explain the working principle of bubble type level measurement. State the equation for it.,L1
Draw and explain the working of a Digital kilo watt Hour Meter.,L1
Draw and explain magnetization curve for a ferromagnetic material and hence define with uints,L1
What are pipeline hagards?,L1
Define exception.,L1
What are elastic pressure transducers?,L1
Write short note on stainless steel?,L1
Write algorithms to create and delete a segment.,L1
Explain file attributes.,L1
Describe consumer behaviour.,L1
Explain the following in relation with filters.,L1
Bankerâs algorithm is used for deadlock avoidance. Explain.,L1
What are the requirements for Linux system administrator?,L1
What do you mean by Earned Value Analysis?,L1
What is the purpose of Leaky bucket and token bucket algorithms?,L1
What is runtime polymorphism?,L1
Explain the concept of Available and Unavailable energy.,L1
What is stream?,L1
What are the rules for overloading operators?,L1
Give the Dirichlet conditions for Continuous time Fourier Series.,L1
Explain process reaction curve tuning method in detail.,L1
Explain any one method of viscosity measurement.,L1
Explain mechanism of universal indexing head.,L1
Give basic definition of Y parameters explain why Y parameters are called short circuit admittance parameters.,L1
Draw the architecture of 8086. And enlist the features of it.,L1
What are types of condensation?,L1
What do you mean by spontaneous magnetization?,L1
Describe the operation of timer 555 with suitable block diagram.,L1
Define software testing?,L1
Explain seismic waves in detail.,L1
Define stack as an ADT.,L1
What is logic family?,L1
What are types of acceleration?,L1
Explain file functions for text file and binary file operations.,L1
Identify FOUR (4) factors that influence consumer behaviour.,L1
Explain the necessity of providing fire protection system in building.,L1
Define and explain the following op-Amppovameter,L1
What do you mean by triangulation and trilateration in geodetic survey?,L1
What is a solar collector?,L1
Write short note on lamination methods.,L1
Draw and explain IPV4 header format.,L1
Enlist the feature of the Programmable Interrupt Controller Intel 82C59A.,L1
Explain working of single phase half wave rectifier with RL load.,L1
Explain with neat sketch battery ignition system.,L1
Draw and explain operational model of network security.,L1
Define functional dependency.,L1
Enlist features of a good hash function.,L1
Give the composition of duralumin.,L1
What is Mutual Exclusion?,L1
List the steps involved in programming PIC microcontroller in capture mode.,L1
Explain typical connections of 78XX and 79XX regulators with circuit diagram.,L1
Write one important feature and an application each of the following motors.,L1
What are the different types of Financial Analysis?,L1
What is template?,L1
What is the need of hidden surface algorithm?,L1
"Explain in detail the working of dynamometer types wattmeter with a neat diagram. Also, state its advantages and disadvantages.",L1
Summarize different access controls in Java.,L1
Explain the working principle of McLeod low pressure vacuum gauge. With neat sketch.,L1
How pressure regulation is done pneumatic circuits?,L1
What is ADT?,L1
List the SEVEN (7) factors to be considered in the method of excavation and timbering.,L1
Explain indexed sequential file organization.,L1
State and explain rules of inference.,L1
Define :,L1
List and explain various features of virtual 8086 Mode.,L1
Explain various process management system calls in Linux with example.,L1
"List FIVE (5) suggestions on how Malaysian public listed company director in Malaysia can perform  'Duty to use Reasonable Care, Skill & Diligence'. ",L1
What are the salient features of engineering student's hostel building?,L1
Write a note on SRAM.,L1
What is meant by back emf in DC motor? State the equation of back emf. Also explain how back emf acts as a regulating mechanism whenload on DC motor changes.,L1
Enlist and draw different types of polygon?,L1
What is RTD?,L1
Define following terms,L1
Explain the behaviour of ferromagnetic material under curie temperature.,L1
Explain the features of LISP programming.,L1
What is tree structured directory?,L1
What are the parameters considered for writing a good defect report?,L1
Write a short note on capacity control of compressors.,L1
Explain the types of HMI.,L1
What is LANDSLIDE?,L1
Draw & explain TCON register.,L1
Define briefly the role of marketing in advertising effectiveness.,L1
What are Electroactive Polymers?,L1
"With the neat diagram, explain the working operation of 4-bit SISO.",L1
Which raw materials are used for manufacture of nitrogeneous fertilizers produced from Ammonia.,L1
Explain electronic energy meter with a neat diagram.,L1
With suitable circuit diagram and phasor diagram explain one wattmeter method for measurement of reactive power.,L1
Explain low drop out regulator with neat diagram in detail.,L1
Write a short note on survey for drainage line work?,L1
What is Exception handing? How to handle Exception in Java?,L1
What is aliasing? How can it be avoided.,L1
Explain the working of circular queue.,L1
Define package used in Java.,L1
What is a doubly linked list?,L1
What is instruction hazard?,L1
List the features of 8086 microprocessor.,L1
State and explain types of belts.,L1
State various materials used in reinforcement of plastics.,L1
Identify any FIVE (5) significances of nonverbal communication in organization.,L1
Enlist any four types of flooring.,L1
What is DMA?,L1
What is SCM?,L1
Describe the THREE (3) roles for social media in branding.,L1
Apply the block digram reduction rules to reduce the following system into canonical form and determine its control ratio.,L1
"In maintaining concrete quality, identify SEVEN (7) good practices on site. ",L1
What are the salient features of vegetable market building.,L1
What is Inheritance?,L1
Discuss following terms.,L1
Write short note on external sort.,L1
Give dimensionless numbers in case of natural and forced convection.,L1
Explain Network stability.,L1
Explain in brief the exposure time calculation method for screen stencil making process.,L1
Write a note on User Interface Design.,L1
Explain Intel i860 processor with block diagram.,L1
How are polymers classified on the basis of their structure?,L1
Discuss the different types of threads used in power screw.,L1
Draw and explain V to I convertor.,L1
Explain the concept of current boosting with necessary diagram.,L1
Explain the instruction Formats in 8086 with examples of suitable instructions. What is Operand? Enlist types of operands.,L1
What is interface in java?,L1
Define Aquifers. Explain in short the types of aquifers.,L1
Describe Exception.,L1
What is page replacement in operating systems?,L1
Give any two points of comparison between LAP winding and WA VE winding for DC machine.,L1
What is halftone and how it is created.,L1
Define the functions of Type Checking and Limit Checking in protection.,L1
Explain the construction of three phase induction motor?,L1
Give detail classification of measuring instruments.,L1
List FIVE (5) guidelines for spokesperson to follow during the media interview.,L1
Give any four examples of Industrial Programming Language.,L1
What are different types of ICR?,L1
What is Socket?,L1
What do you mean by recursive function?,L1
What are the problems of managing data resources in a traditional file environment?,L1
List the application of microprogramming.,L1
Which are various functional units of microprocessors?,L1
Explain working of vertical type wind turbine with neat diagram.,L1
What is the transformation?,L1
Compare late binding & early binding.,L1
Ethylene Oxide is produce from oxidation of ethylene.,L1
What is Precipitation titration?,L1
Explain in brief what is Lissajous pattern?,L1
Explain the concept of Transaction.,L1
Explain demand and supply curve and factors affecting on it.,L1
Mention various features of AT mega 328P.,L1
Enlist the steps of protein digestion and absorption in stomach and intestine.,L1
Explain Frame Representation with its merits and demerits.,L1
List and briefly describe FOUR (4) types of secondary equity markets.,L1
What is namespace? To demonstrate namespace with example.,L1
Elaborate the impact of usage of EV on power grid.,L1
What do you meant by retrofitting of concrete and explain use of fiber reinforced polymer concrete for retrofitting.,L1
Name TWO (2) types of laboratory tests.,L1
Define organizational culture according to Schein (1990).,L1
What is ADT? Explain stack as an ADT.,L1
Explain Steps to receive Data Serially in 8051 microcontroller.,L1
Explain Friend function with example.,L1
What is microprocessor?,L1
Explain the supercharging with neat sketch.,L1
Identify SIX (6) factors to be considered when designing layout.,L1
Design 2 bit synchronous up counter using MS JK flipflop.,L1
What are various types of air conditioning systems?,L1
Explain functional units of computer.,L1
What are types of phase diagram?,L1
State the classification and applications of Photogrammetry in surveying?,L1
Explain the advantages of HMI.,L1
Give the property of line insulator and explain anyone.,L1
Write a program to create files using constructor function.,L1
What is significant depth and pressure bulb?,L1
Enterprise Application and explain with examples.,L1
Define bronze and explain in brief types of bronze with suitable examples.,L1
Explain on the Psychrometric Chart following Processes.,L1
What is basic principle of metal cutting?,L1
Write in short about dialysis and size exclusion chromatography.,L1
What is cohesion and coupling?,L1
Explain extrusion process for thermoplastic plastics.,L1
Explain any two types of memories.,L1
Write a short note on Velocity Profile optimization in DC Motor?,L1
Difference between Rankin cycle and Carnot cycle.,L1
Describe the block diagram of programmable IC 8253.,L1
Explain the factors for selection of motor for an EV .,L1
Define steel?,L1
Define the term 'Production Possibility Curve' as used in the timber and steel factory.,L1
Explain how the wind pattern affects power generation in wind energy systems.,L1
Write short note on : Producer-consumer Problem.,L1
What are the assumption of BET theory of adsorption?,L1
What is adsorption isotherm?,L1
A fluid of viscosity 0.,L1
What observations and precautions are necessary during Core Drilling for Preliminary Geological Exploration?,L1
Discusst the speedup and scaleup issue in parallelism with suitable diagram.,L1
Write note on stiffness method and write elements of displacement matrix for following figure.,L1
A pressure vessel having outer diameter 1.,L1
What do you mean by concrete mix design? What are the objectives in mix design?,L1
Name the enzyme commonly used to detect liver damage or muscle damage in clinical diagnosis.,L1
Draw the block diagram of IC PCL 565 and explain in detail.,L1
Explain any two parallel Database System Architecture in detail.,L1
Describe in detial  Read Only Memory (ROM).,L1
How do you express the life of a bearing?,L1
Whta is Backface?,L1
What is Morphing and write the applications of Morphing.,L1
Define Mineral.,L1
Explain how memories are classified based on physical characteristics.,L1
Explain the working of a half-adder? Draw its logic diagram.,L1
Explain steps involved in the stability analysis of slopes by method of slices.,L1
Explain coriolis component of acceleration with neat sketch.,L1
State reactions take place in catalytic reforming process.,L1
Compare single phase HWR and single phase FWR.,L1
Explain the feedback compensator with example.,L1
What are different data fragmentation techniques in distributed databases?,L1
What is risk identification?,L1
Explain different drainage conditions in triaxial test.,L1
Compare python list and linked lists.,L1
Write an algorithm of B tree deletion.,L1
Define Industrial Engineering and state its History and Development.,L1
What are the qualities of good drug?,L1
State advantages and disadvantages of LFP Battery.,L1
Explain with example:,L1
Describe Impressionism art style.,L1
Write a note on setting  out a building?,L1
Write short note on nervous tissue.,L1
Obtain the approximate equivalent circuit diagrams fo 3-ph induction motor step by step. Label it & state the meaning of each nomenclatureused.,L1
What are the measure of query cost?,L1
State the following properties of CTFS.,L1
Define probability. Also write the properties of probability.,L1
State the following properties of DT fourier series.,L1
What are the different types of muscle tissues?,L1
Find the maximum flow in the given network.,L1
List the various method of conversion compare them and which one is fastest.,L1
Explain any 3 Welding defects along with remedies.,L1
Explain the various modes of heat transfer with suitable real life examples.,L1
What is buffer register?,L1
Describe in brief any one method for the speed control of a three phase induction motor.,L1
Write down the equations for Following circuits.,L1
Describe Material Extrusion process in short.,L1
What are the check points in cell cycle?,L1
Explain with neat block diagram IC V oltage Regulator.,L1
Define Queue and explain any one application of Queue.,L1
Write a short note on - C60.,L1
When do deadlock happens?,L1
"With necessary diagram, classify magnetic materials on the basis of magnetic dipole moment and magnetic susceptibility.",L1
Draw a neat and labeled diagram showing electrons transport chain.,L1
Draw and explain voltage series feedback amplifier and list their advantages.,L1
State Different names of satellites and Write a note on GLONASS (Global Navigation and Surveying System).,L1
Bag 1 contains 2 white and 3 red balls.,L1
Consider the following Book Relation.,L1
Describe the types of a servo motor.,L1
Define the following terms:,L1
Draw and explain torque-Slip characteristics of 3 phase induction motor with respective mathematical expressions. Clearly mark the two regionsand point of maximum torque and starting torque,L1
What do you understand by relative humidity of air?,L1
Explain the applications of Virtual Reality systems.,L1
What are the objectives of testing?,L1
What is accelerometer?,L1
A solution of 3.,L1
Probability of man aged 60 years will live for 70 years is 1 10.,L1
Explain CAD geometry cleanup and tools used for it.,L1
Draw and explain general structure of PAL.,L1
What is system testing?,L1
"As a supervisor for the brickworks, List FOUR (4) aspects of brick quality control in order to produce good architectural work. ",L1
Derive the torque equation of dynamometer type wattmeter. Explain the errors and its compensation in dynamometer type wattmeter.,L1
What do you mean by adjacency matrix and adjacency list? Give the adjacency matrix and adjacency list for the graph shown below:,L1
What is a container?,L1
Explain the Standard Marking System of a grinding wheels.,L1
Explain gesture  interfaces in Virtual Reality.,L1
Explain Classification of channel bottom slopes with neat sketches.,L1
What are the disadvantages of the linear queue?,L1
Differentiate between followings.,L1
What is fouling?,L1
Explain the function of LM 317 as adjustable voltage regulator.,L1
What is meant by system calls in operating system?,L1
What are heat capacities at constant volume and constant pressure?,L1
What do you mean by memory management operator?,L1
Explain Serial port structure of 8051 microcontroller.,L1
Explain different collapse mechanisms in plastic analysis with diagram.,L1
Choose ONE (1) activity and describe briefly how you plan to carry it out in your reading lesson.,L1
Describe different types of seismic waves in detail.,L1
Explain any three methods of taper turning with neat sketches.,L1
What do you mean by Engineering plastics?,L1
What are different Process management system calls in Linux.,L1
What are the basic performance issues in pipelining.,L1
Write short notes on the following.,L1
Explain Economizer.,L1
What is CAD customization?,L1
Write a short note on Organic Protective Coatings?,L1
Explain class template and function template with example.,L1
Where are semiconductors used?,L1
Explain various parts and any two types of faults with neat sketches.,L1
Enlist  various linear methods of setting out curves and explain any one with sketch.,L1
Define Industrial Engineering.,L1
With neat pin diagram explain function of each pin of IC 741,L1
What is mean by Governing system and explain all types of governing systems?,L1
What are the types of chips formed during metal cutting?,L1
Explain any three sheet metal working operations with their working.,L1
Differentiate between CRO and DSO.,L1
What is the space complexity of threaded binary tree.,L1
Explain the working of PV cell and Simplest Equivalent Circuit for a Photovoltaic cell.,L1
What is Software Reuse?,L1
Explain working principle of Induction motor and concept of rotating magnetic field.,L1
Explain Splay tree with an example.,L1
Explain the concept of page replacement algorthm. List the different page replacement algorithms.,L1
Explain the following terms.,L1
Write note on High and low temperature materials with example.,L1
What are the criterias for selection of controllers in Embedded Products?,L1
Explain RTD with its principle of working. Explain three wire lead arrangement of RTD.,L1
Define Inheritance.,L1
Explain the classification of steel on the basis of carbon content with its applications.,L1
What is fluidization?,L1
Explain Scan line polygon filling Algorithm?,L1
What is lag adjustment in case of energy meter?,L1
List and elaborate on different applications of microcontrollers.,L1
How to enhance decision making with information systems give suitable examples.,L1
Define instructional materials based on your understanding.,L1
State sampling theorem in time domain.,L1
Write short note on classifications and different types of antifriction bearings.,L1
Describe the types of wind turbine electrical generators.,L1
What is mean by Constructor?,L1
Describe PMTS with suitable illustration.,L1
Explain the various methods to protect slopes from failure with clear sketch.,L1
What is a biodegradable polymer?,L1
Short note on Optimum proportions of a vessel.,L1
State THREE traits that are associated with invasive plants.,L1
State and explain factors affecting shear strength of cohesive and cohesionless soil.,L1
Describe FIVE (5) key players in advertising.,L1
Give any 2 applications of springs and any 2 material required for manufacturing of springs.,L1
Describe Prisoner Dilemma in the context of game theory.,L1
Define formative number of teeth for Helical gear and express the formula with terms.,L1
Explain how shear tests are conducted with different drainage conditions?,L1
Enlist any three objectives of testing?,L1
Explain in brief folding to paper style.,L1
Explain defect management.,L1
What are the steps in design in animation sequence?,L1
How are hydroelectric power plants classified?,L1
Name the following conserved amino acids for their corresponding single letter codes: SQYKRECP.,L1
What are the types of errors that may cause a tansaction to fail?,L1
Draw and explain the characteristics of a DC shunt motor.,L1
What is Priming?,L1
State the objectives of supercharging of engine.,L1
Draw circuit of Op-Amp as V-I converter. Also explain its working.,L1
Explain with a neat diagram CMOS NOR gate.,L1
Describe the implementation of queue using a Circular Array.,L1
Explain construction and working of a synchronous machine.,L1
What is landslides? What are the causes of it?,L1
Explain ISO 9000 and its importance.,L1
What is Queue? Explain insertion and deletion operation in Queue with suitable diagram.,L1
What is min heap?,L1
Explain various specification of ADC.,L1
Write difference between throw and throws.,L1
Differentiate between compile time polymorphism and runtime Polymophism.,L1
Draw and explain PCM Receiver.,L1
Identify what types of brickwork defects that require rejection from the supervisor.,L1
"Explain with suitable example, DFS and BFS traversal of a graph.",L1
What is meant by Metamorphism?,L1
What is Fourier series. Write formula for exponential and Trignometric Fourier series.,L1
Explain the relationship between compressive strength and tensile strength of concrete.,L1
"Municipal bonds are securities issued by local, county and state government. Identify THREE (3) types of Municipal Bonds that available in the market. ",L1
Describe with neat diagram - Nano wires.,L1
What is voltage regulator?,L1
Give the effective length of column for various end conditions.,L1
Give the applications of Two Port Network Parameters and Explain Network Stability.,L1
Elaborate on repetitive work cycle operations.,L1
What do you mean by Quantity factor and Dissipation factor in AC bridges?,L1
What is multithreading?,L1
Draw the block diagram of PLL and explain each block in detail.,L1
What is a register in CPU?,L1
Explain the applications of IR spectroscopy.,L1
Explain structural error related to synthesis of mechanism.,L1
Discuss the errors in wheatstone bridge along with limitations.,L1
What are the various types of constructors in JAVA?,L1
What are various types of welding joints used in pressure vessels?,L1
Draw a neat sketch of DC generator.,L1
What are the different methods of Job evaluation?,L1
What is Semaphore?,L1
Explain different types of riveted joints.,L1
Explain Risk Projection and Risk Refinement in detail.,L1
Explain Normal combustion and abnormal combustion Phenomena in SI engine.,L1
What is socket?,L1
State and explain the various frequency domain specifications.,L1
State and write any six properties of Fourier Transform.,L1
Explain what you understand by A.,L1
Explain the properties of solid insulating material.,L1
Explain Generalised linked list with suitable Example.,L1
Explain linked organization with respect to file handling.,L1
Describe the RAM and ROM memory organization in 8051 microcontroller.,L1
What is the advantage of open collector output?,L1
Describe any two component which can be manufactured by only powder metallurgy technique.,L1
Draw an inverting summing amplifier with three inputs and derive expression for its output voltage V o?,L1
What is a design pattern?,L1
What is meant by transposition of conductors in an overhead line?,L1
Discuss in details Mechanical Grippers.,L1
What is need of exception handling?,L1
What is zwitterion?,L1
What is high pass filter?,L1
Write Methods of Transfer Lines with suitable example.,L1
What is semiconductor memory?,L1
Write short note on plate tectonic.,L1
Explain the durability of concrete? What effect the water- cement ratio makes on durability?,L1
List TWO (2) importance of using instructional materials in teaching.,L1
Classify broaching machines.,L1
Define equivalent evaporation and boiler efficiency.,L1
Give classification of Input-output Devices. Explain any four properties of classification used for I/O devices.,L1
Draw & explain the working principle of Electromagnetic flow meter. Comment on the relationship between the flow rate & voltage.,L1
Explain following routing.,L1
What is meant by reactance voltage in case of commutation in DC machine?,L1
Explain Interrupt Priority Register of 8051 Microcontroller.,L1
How are recorders classified?,L1
Explain different types of Learning Models in Machine Learning.,L1
Describe graphic design and product design.,L1
Write short note on CASE TOOLS for software development.,L1
Define Biot and Fourier numbers with their physical significance?,L1
How does Virtual Reality Work?,L1
Explain Register organization of microprocessor 8086.,L1
Define Macro.,L1
Explain the working principle of turbine which is suitable for low head.,L1
Explain any three methods for synthesis of Furan.,L1
Define with examples.,L1
What do you mean by section modulus?,L1
Explain the Ziegler - Nichols tuning method of tuning a PID controller.,L1
Enlist different methods of contouring? Explain any one with detailed sketch?,L1
What are the geological requirements for the foundation of Bridge?,L1
Explain the three position synthesis of single slider mechanism by using inversion method.,L1
List down the environmental factors that an international marketer should consider.,L1
Explain battery ignition system in detail with neat sketch.,L1
Classify the different modes of failure of finite and infinite slopes.,L1
What is Multiple Inheritance?,L1
What are the programming language qualities?,L1
Explain the linked implementation of stock with suitable example.,L1
Draw and explain General Selector Format.,L1
Explain Dijkstra âs Algorithm with suitable example.,L1
Identify any TWO (2) advantages of matching demand strategy and level strategy each in preparing aggregate production plan.,L1
What is a law of gearing?,L1
What is mean by inheritance?,L1
Draw & explain the working principle of Ultrasonic flow meter. Derive the equation of any one method.,L1
What are the different types of appraisals required to undertake any Project?,L1
How process and threads are implemented in Linux?,L1
What is Koch curve?,L1
What is Hashing?,L1
The first four moments about the working mean 30.,L1
Define Condensation?,L1
Explain Reynolds Number with example.,L1
Compare active filters and passive filters.,L1
List FOUR conditions required in order for an animal population to remain at Hardy-Weinberg equilibrium.,L1
Draw the connection diagram of 3 point starter used for DC shunt motor & explain the function of,L1
Explain design evaluation cycle.,L1
Draw & explain the working principle of chain-balanced float type density measurement technique. Enlist other two techniques for density measurement.,L1
Explain the property of ceramic material.,L1
Write a short note on ALU IC 74181.,L1
Define luxury consumption of plant nutrients.,L1
Explain various socket primitives used in connection oriented client server approach.,L1
What are cin and cout?,L1
Expain current boosting voltage regulator using LM317.,L1
Draw RC coupled amplifier.,L1
What is an adsorption isotherm?,L1
Define FOUR (4) primary roles of advertising in business and society.,L1
Derive an expression for heat exchanger effectiveness for concurrent flow.,L1
What is a segment?,L1
Write structure definition for double Linked list. Differentiate between array and linked list.,L1
Tabulate different methods of control of microorganisms with its mode of action and examples.,L1
Write any four industrial applications of the induction motor.,L1
Explain Gibbs phase rules for metallurgical application?,L1
What are Micro instructions? Draw and explain micro-programmed control unit design.,L1
Write and explain SQL function and procedures with sample example.,L1
Write a short note on purging of vessels.,L1
Write short note on SPI protocol.,L1
Write a note on Evaluation of expression.,L1
What is landslide?,L1
Explain white cast iron with its composition.,L1
"Define plastic hinge, load factor and shape factor.",L1
Write a difference between procedural and object oriented programming.,L1
Describe in detail elements of belt conveyor what are the various merits and applications of belt conveyors?,L1
Calculate the thickness of flanged torispherical head for a vessel having internal diameter 6000mm.,L1
Describe Micro motion study.,L1
State the purposes of risk assessment.,L1
Identify FIVE (5) key players in advertising.,L1
Explain Vacuum forming in Plastics.,L1
Explain screw thread terminology.,L1
Explain the stress-strain relationship of concrete with neat sketch.,L1
State various obstacles in setting out curves.,L1
Explain the difference between array representation and linked representation of binary tree.,L1
Sketch a twist drill geometry and discuss various elements of it.,L1
Explain Plugging of DC motor.,L1
What is importance and purpose of Refining process in manufacturing of paper.,L1
Explain the homogenous transformation matrix approach in planning of Cartesian path trajectories.,L1
Explain in details various types of Relays and Electric Encoders used Printing Industries.,L1
What is table overflow and how it is handled using extendible hashing?,L1
Explain the operation of a precision full wave rectifier with necessary waveforms.,L1
Explain in detail ARP and RARP.,L1
What is Microprocessor?,L1
Explain homogenous and heterogeneous nucleation with neat sketches.,L1
What  is Software Architecture?,L1
Explain with neat sketch pressure thermoforming.,L1
What is heat engine?,L1
What are Aluminum and its alloys?,L1
Describe graphic design.,L1
List and explain different types of iterators in STL.,L1
Compare synchronous and ripple counter.,L1
State the Bernoulli is theorem.,L1
What are elements of Design model?,L1
What are sound displays in Virtual Reality?,L1
Define constructor.,L1
Discuss the desired characteristics of control valves.,L1
What are the different laws of Radiation?,L1
What are various types of Stepper motors?,L1
Write assumption made in Pure bending theory.,L1
Differentiate between Microprocessor and Microcontroller.,L1
Describe THREE (3) advantages of the banker's acceptance towards either exporter or importer.,L1
Define Red Black tree.,L1
Explain two position and floating control mode in brief with neat sketch.,L1
Explain in detail file systems and its implementation.,L1
What are the different tools used for generation of Reports?,L1
Explain degrees of freedom and stiffness.,L1
Write down application of carbon nano tubes and BN nano tubes.,L1
Demonstrate the different types of flames used in oxyacetylene welding.,L1
Explain principle of resistance welding with neat sketch.,L1
Explain brass and its types with suitable examples.,L1
Explain generation of saw tooth waveform using OP-AMP. Draw input & output waveforms.,L1
State any five factors for selection of motor for specific applications with brief explanation of each.,L1
Define attitudes.,L1
Draw Bending stress and shear stress distribution diagram for the rectangular section?,L1
Each conductor of 3 phase line is suspended by 4 suspension insulators.,L1
Draw and explain the functional diagram of 723 regulator.,L1
